Beam,Thickness,Utilisation
518,5.8,0.854158
518,6.2,0.99469
518,6.7,0.559452
518,7.2,0.979373
518,7.7,0.820832
518,8.1,0.779824
518,8.6,0.823971
518,9.1,0.43883
518,9.6,0.763305
518,10,0.99372
518,10.5,0.41851
518,11.5,0.408749
518,11.9,0.521566
518,13.8,0.464095
518,14.8,0.473027
518,16.2,0.491671
575,4.8,0.82431
575,5.3,0.606191
575,7.2,0.566815
575,7.7,0.598157
575,8.1,0.559622
575,8.6,0.974088
575,9.1,0.547154
575,9.6,0.585283
575,11,0.469929
575,11.9,0.462353
575,12.4,0.806399
575,14.3,0.66338
575,15.3,0.811099
575,15.7,0.499984
636,3.4,0.960703
636,3.9,0.869889
636,4.3,0.746167
636,4.8,0.709628
636,5.3,0.636494
636,5.8,0.558526
636,6.2,0.485767
636,6.7,0.475374
636,7.2,0.457488
701,5.3,0.66434
701,6.2,0.589268
701,6.7,0.493819
701,7.2,0.425841
701,7.7,0.56407
701,9.1,0.690518
701,9.6,0.480624
701,10.5,0.577476
701,11,0.813514
701,13.4,0.746521
701,18.1,0.922585
770,4.8,0.625283
770,5.3,0.866107
770,5.8,0.862605
770,6.7,0.571899
770,7.7,0.769269
770,8.1,0.67085
770,8.6,0.733048
770,9.1,0.438748
770,9.6,0.600621
770,10.5,0.87983
770,11,0.516056
770,13.8,0.430306
843,3.9,0.871045
843,5.3,0.787257
843,5.8,0.55431
843,6.2,0.943046
843,6.7,0.694597
843,7.7,0.649064
843,8.6,0.51139
843,10,0.521045
843,11,0.407799
843,14.8,0.644973
920,4.3,0.426521
920,3.9,0.478928
920,3.4,0.533151
920,2.9,0.61002
920,2.4,0.724825
920,2,0.881044
1001,6.7,0.420771
1001,6.2,0.45036
1001,19.1,0.503549
1001,4.8,0.549782
1001,13.4,0.555303
1001,4.3,0.672584
1001,5.8,0.681994
1001,8.6,0.819295
1001,15.3,0.851605
1086,5.8,0.445165
1086,16.2,0.46918
1086,6.7,0.479099
1086,4.8,0.510629
1086,9.1,0.582517
1086,4.3,0.606364
1086,5.3,0.610768
1086,12.4,0.621815
1086,8.6,0.677616
1086,7.7,0.791732
1086,6.2,0.848202
1175,15.3,0.424398
1175,6.7,0.458053
1175,3.9,0.488787
1175,8.1,0.519533
1175,13.4,0.52074
1175,4.3,0.585906
1175,7.7,0.693524
1175,7.2,0.925391
1268,8.1,0.448993
1268,4.8,0.600896
1268,5.3,0.615291
1268,5.8,0.618553
